#{"t_start": 1699895683.208566, "env_id": "openai_cartpole/ModifiedCartPole-v1"}
r,l,t
56.0,56,221.377664
448.0,448,232.00334
377.0,377,239.921189
500.0,500,250.42791
387.0,387,258.579109
500.0,500,269.085725
500.0,500,279.598533
387.0,387,287.732977
238.0,238,292.741079
497.0,497,303.180595
500.0,500,313.697113
217.0,217,318.264405
500.0,500,328.746721
242.0,242,333.828138
404.0,404,342.316699
500.0,500,352.812832
500.0,500,363.310733
500.0,500,373.810186
275.0,275,379.590307
461.0,461,389.28704
500.0,500,399.769246
269.0,269,405.428237
242.0,242,410.530695
500.0,500,421.039109
500.0,500,431.549661
304.0,304,437.933743
268.0,268,443.575793
381.0,381,451.591461
500.0,500,462.093497
469.0,469,471.931689
242.0,242,477.031657
258.0,258,482.458272
286.0,286,488.466927
500.0,500,498.963612
358.0,358,506.487617
500.0,500,516.99356
500.0,500,527.504791
463.0,463,537.210265
500.0,500,547.700603
350.0,350,555.045037
469.0,469,564.901758
243.0,243,570.015672
500.0,500,580.538054
260.0,260,586.001051
451.0,451,595.469401
500.0,500,605.989051
217.0,217,610.562897
481.0,481,620.67479
500.0,500,631.185838
468.0,468,641.033465
274.0,274,646.808896
279.0,279,652.679918
500.0,500,663.193414
500.0,500,673.694965
265.0,265,679.275089
245.0,245,684.435323
238.0,238,689.446557
397.0,397,697.788542
464.0,464,707.54152
500.0,500,718.055737
199.0,199,722.250458
500.0,500,732.757817
393.0,393,741.013263
276.0,276,746.829579
267.0,267,752.458061
220.0,220,757.087392
390.0,390,765.263482
235.0,235,770.212275
500.0,500,780.716036
239.0,239,785.748914
224.0,224,790.464998
409.0,409,799.06149
239.0,239,804.092861
227.0,227,808.862077
248.0,248,814.083773
500.0,500,824.585323
376.0,376,832.480447
256.0,256,837.861105
289.0,289,843.927825
500.0,500,854.405537
237.0,237,859.381176
500.0,500,869.871427
405.0,405,878.375456
458.0,458,887.994275
252.0,252,893.297657
286.0,286,899.317132
434.0,434,908.41839
477.0,477,918.430801
377.0,377,926.357433
473.0,473,936.288686
267.0,267,941.895898
369.0,369,949.630003
278.0,278,955.457978
244.0,244,960.602914
500.0,500,971.095469
440.0,440,980.336426
270.0,270,986.012148
373.0,373,993.850931
500.0,500,1004.331819
500.0,500,1014.807536
244.0,244,1019.936544
189.0,189,1023.961734
500.0,500,1034.471551
